x,y,z
114.898423,22.922227,297.325892
114.898512,22.922271,298.70741
114.898602,22.922316,299.01936
114.898691,22.922362,298.95164
114.898773,22.922425,299.105123
114.898824,22.922504,299.075248
114.898811,22.922599,299.535199
114.898779,22.922686,300.785646
114.89874,22.922777,303.044914
114.898733,22.922877,304.909461
114.898753,22.922968,305.916814
114.898829,22.923047,307.184236
114.898902,22.923123,309.315671
114.898976,22.923187,310.588851
114.899054,22.923246,311.692723
114.899136,22.923303,313.857318
114.899234,22.923347,314.806174
114.89932,22.923392,316.722742
114.899416,22.923407,317.916362
114.8995,22.923355,318.027989
114.899572,22.923417,319.850409
114.899639,22.923493,322.220793
114.899721,22.923553,323.82188
114.899804,22.923607,325.253682
114.899907,22.923618,327.459697
114.900002,22.923592,327.50525
114.900101,22.923607,328.731653
114.900191,22.923641,330.607662
114.90029,22.923652,332.104596
114.900387,22.923671,335.006728
114.900466,22.923729,337.308137
114.900525,22.923803,339.791878
114.90063,22.923813,342.32317
114.900721,22.923846,347.025402
114.900808,22.923896,350.242311
114.900896,22.923947,352.066594
114.900957,22.924018,353.753416
114.901027,22.924087,356.824155
114.901124,22.924132,358.416987
114.901203,22.924188,359.908312
114.901304,22.924187,360.693312
114.9014,22.924161,361.547647
114.901507,22.924151,362.56722
114.901563,22.924074,365.151072
114.901624,22.924002,365.615703
114.901699,22.923935,366.792764
114.901797,22.923938,369.036772
114.901901,22.92394,369.863872
114.902004,22.92394,372.037294
114.902108,22.923937,371.852336
114.902214,22.92393,372.858915
114.902323,22.923919,373.519171
114.902423,22.923917,372.873514
114.902475,22.923832,373.849
114.902504,22.923742,375.401053
114.902554,22.923657,377.411486
114.902648,22.923622,380.706611
114.902749,22.923605,384.052172
114.902836,22.923564,386.648274
114.902932,22.923525,389.649889
114.903025,22.923499,391.367686
114.903116,22.923455,392.753085
114.903208,22.923406,394.205375
114.903309,22.923391,396.123128
114.903361,22.923314,399.070304
114.903412,22.923233,400.799967
114.903388,22.923146,401.547236
114.903386,22.923046,400.404755
114.903347,22.922963,401.185654
114.903301,22.922875,400.946636
114.903298,22.922781,400.588285
114.903345,22.922702,400.459801
114.903298,22.922605,401.715123
114.903241,22.922524,401.358677
114.90323,22.922431,401.644211
114.903179,22.922346,402.471977
114.903135,22.922262,402.893661
114.903174,22.922173,403.493432
114.903261,22.922129,403.687598
114.903288,22.922032,404.976075
114.90332,22.921946,407.107758
114.903344,22.921856,408.818895
114.903324,22.921754,410.262479
114.903327,22.921664,410.519675
114.903382,22.921588,412.00196
114.903419,22.921504,412.994676
114.903517,22.92149,414.523003
114.903611,22.921532,415.314522
114.903718,22.921532,416.361047
114.903818,22.921498,416.521355
114.90392,22.92147,417.355265
114.903988,22.921404,418.43217
114.904063,22.921345,420.652706
114.904109,22.921258,423.217649
114.904191,22.921204,425.281235
114.904292,22.921225,427.301499
114.904363,22.921156,428.223625
114.904434,22.921093,429.479768
114.904513,22.92103,430.359044
114.904611,22.921,431.322844
114.904708,22.920976,432.13496
114.904814,22.920964,433.827422
114.904913,22.920986,436.410719
114.905008,22.921025,440.974028
114.905097,22.921068,443.235437
114.905198,22.921052,444.918314
114.905283,22.921002,446.073063
114.905355,22.92093,448.447658
114.905441,22.920888,448.103005
114.905535,22.920848,447.232938
114.905635,22.920832,446.657109
114.905729,22.920874,446.390723
114.905822,22.920906,445.235546
114.905917,22.920865,445.063557
114.906007,22.920819,444.486815
114.906102,22.920859,444.289264
114.906188,22.920905,442.424897
114.906295,22.920906,441.534948
114.9064,22.920905,441.093066
114.906503,22.920927,440.182797
114.906602,22.920951,440.455924
114.906642,22.921033,439.725351
114.906746,22.921086,440.70672
114.906852,22.921095,443.004874
114.906954,22.921128,443.985003
